shipment_id,order_id,vendor_id,origin,destination,ship_date,promised_date,actual_date,status,sku,quantity,cost_inr,weight_kg,distance_km,delay_days,lateness_flag,exception_note,vendor_reliability_sim,delay_probability_sim
SHP100023,ORD200023,V016,Lucknow,Gurgaon,2025-05-17,2025-05-20,2025-05-26,delivered_delayed,SKU0195,1,704.8,184.7252072511711,328.69614019345534,5,1,vehicle breakdown,0.621,0.551
SHP100024,ORD200024,V018,Siliguri,Warangal,2025-10-17,2025-10-27,2025-10-29,delivered_delayed,SKU0286,1,794.21,243.11895648440944,322.88723915191105,2,1,hub congestion,0.551,0.594
SHP100025,ORD200025,V044,Meerut,Chennai,2024-12-29,2025-01-02,2025-01-02,delivered_on_time,SKU0118,8,2341.01,793.3202112535013,1492.4357925649135,0,0,,0.681,0.504
SHP100026,ORD200026,V003,Meerut,Guwahati,2025-08-17,2025-08-24,2025-08-30,delivered_delayed,SKU0138,3,4681.49,1291.0784205283298,3000.0,7,1,hub congestion,0.64,0.521
SHP100027,ORD200027,V014,Dehradun,Jabalpur,2025-07-31,2025-08-06,2025-08-06,delivered_on_time,SKU0162,3,3878.29,1365.6166267118251,1592.6511693580358,0,0,,0.649,0.498
SHP100028,ORD200028,V014,Tiruchirappalli,Faridabad,2025-11-17,2025-11-19,2025-11-19,delivered_on_time,SKU0203,6,3084.61,935.5665278678111,1516.752590952769,0,0,,0.712,0.449
SHP100029,ORD200029,V042,Noida,Jaipur,2025-01-25,2025-02-03,2025-02-07,delivered_delayed,SKU0136,2,1933.85,616.4120687647803,879.9276054371642,3,1,vehicle breakdown,0.733,0.46
SHP100030,ORD200030,V009,Patna,Bikaner,2025-02-04,2025-02-08,2025-02-14,delivered_delayed,SKU0288,4,2150.95,652.2712914545922,985.0836761919177,5,1,staffing shortage,0.577,0.649
SHP100031,ORD200031,V035,Vadodara,Bikaner,2025-05-26,2025-05-30,2025-06-04,delivered_delayed,SKU0300,2,3714.51,1582.1852919570147,2297.761807387678,5,1,vehicle breakdown,0.628,0.616
SHP100032,ORD200032,V028,Dhanbad,Mysore,2025-06-13,2025-06-15,2025-06-17,delivered_delayed,SKU0186,5,1103.61,367.1252163903484,407.0156118918494,2,1,monsoon disruption,0.594,0.55
SHP100033,ORD200033,V015,Surat,Aurangabad,2025-09-04,2025-09-07,2025-09-07,delivered_on_time,SKU0253,3,405.9,113.83375669683998,221.88400475510466,0,0,,0.627,0.618
SHP100034,ORD200034,V006,Bikaner,Chennai,2025-06-15,2025-06-19,2025-06-19,delivered_on_time,SKU0441,2,2644.35,990.2048319160033,1514.7466439054265,0,0,,0.629,0.615
SHP100035,ORD200035,V008,Jaipur,Tiruchirappalli,2025-05-31,2025-06-06,2025-06-13,delivered_delayed,SKU0082,3,2001.14,544.8927135815161,972.1235600458456,6,1,route diversion,0.589,0.6
SHP100036,ORD200036,V039,Kolkata,Mysore,2025-01-27,2025-02-03,2025-02-07,delivered_delayed,SKU0196,3,2465.39,847.5431775911054,1452.871048997492,3,1,vendor capacity issue,0.554,0.661
SHP100037,ORD200037,V034,Vadodara,Dehradun,2025-12-06,2025-12-10,2025-12-10,delivered_on_time,SKU0441,4,1573.36,370.2900040279591,809.9109499828003,0,0,,0.68,0.478
SHP100038,ORD200038,V001,Jamshedpur,Durgapur,2025-01-31,2025-02-04,2025-02-04,delivered_on_time,SKU0059,2,3621.31,966.6146622965144,2251.4154754781844,0,0,,0.728,0.366
SHP100039,ORD200039,V044,Kolhapur,Shimla,2025-08-08,2025-08-18,2025-08-21,delivered_delayed,SKU0137,4,2685.14,921.4766656107475,933.8365647531391,4,1,monsoon disruption,0.658,0.534
SHP100040,ORD200040,V008,Agra,Jodhpur,2025-10-23,2025-10-27,2025-10-27,delivered_on_time,SKU0081,4,2975.38,1101.6542679726706,1383.916106390538,0,0,,0.597,0.551
SHP100041,ORD200041,V030,Mumbai,Durgapur,2025-04-17,2025-04-21,2025-04-21,delivered_on_time,SKU0449,5,1305.07,446.20571346996303,643.16288216594,0,0,,0.743,0.487
SHP100042,ORD200042,V047,Vadodara,Aurangabad,2025-10-10,2025-10-16,2025-10-16,delivered_on_time,SKU0391,6,4431.88,1451.6663678457935,1031.6497536909117,0,1,hub congestion,0.59,0.551
SHP100043,ORD200043,V012,Thane,Pune,2025-04-21,2025-04-24,2025-04-24,delivered_on_time,SKU0446,4,1419.52,451.80219743518796,555.6068375630598,0,0,,0.685,0.516
SHP100044,ORD200044,V041,Nashik,Tiruchirappalli,2024-12-28,2025-01-03,2025-01-03,delivered_on_time,SKU0260,2,2074.48,538.1351184044623,868.4604618817784,0,0,,0.759,0.447
SHP100045,ORD200045,V039,Nagpur,Jaipur,2025-11-01,2025-11-06,2025-11-13,delivered_delayed,SKU0192,6,2734.93,813.2071572900862,1626.7927021422224,8,1,festival rush,0.614,0.494
SHP100046,ORD200046,V035,Shimla,Aurangabad,2025-05-23,2025-05-28,2025-06-02,delivered_delayed,SKU0471,3,2517.8,781.2768517905391,1080.93098226491,5,1,hub congestion,0.634,0.552
SHP100047,ORD200047,V039,Meerut,Thane,2025-09-07,2025-09-14,2025-09-18,delivered_delayed,SKU0010,2,4773.45,1843.456004537234,1996.2190858044285,5,1,monsoon disruption,0.603,0.55
SHP100048,ORD200048,V024,Nashik,Patna,2025-03-06,2025-03-12,2025-03-12,delivered_on_time,SKU0030,1,2727.55,956.0451366189563,1586.7483341028797,0,0,,0.695,0.433
SHP100049,ORD200049,V016,Dehradun,Hyderabad,2025-10-19,2025-10-22,2025-10-26,delivered_delayed,SKU0044,1,310.33,100.0,200.0,4,1,festival rush,0.574,0.668
SHP100050,ORD200050,V005,Bikaner,Kolhapur,2024-12-21,2024-12-25,2024-12-24,delivered_early,SKU0393,7,670.63,234.41035495309487,200.0,0,0,,0.664,0.467
SHP100051,ORD200051,V009,Surat,Jamshedpur,2025-08-06,2025-08-14,2025-08-18,delivered_delayed,SKU0244,6,2196.95,690.0163408686353,1019.0349796362648,5,1,monsoon disruption,0.635,0.538
SHP100052,ORD200052,V036,Lucknow,Ludhiana,2025-08-29,2025-09-03,2025-09-06,delivered_delayed,SKU0271,2,2874.69,860.9329547470231,1021.1741830872834,4,1,monsoon disruption,0.652,0.484
SHP100053,ORD200053,V039,Amritsar,Indore,2025-11-18,2025-11-22,2025-11-22,delivered_on_time,SKU0476,4,2424.52,882.3244031243563,870.4804356511787,0,0,,0.526,0.724
SHP100054,ORD200054,V035,Bikaner,Jabalpur,2025-01-29,2025-01-31,2025-02-05,delivered_delayed,SKU0354,5,4192.85,1613.7579840615244,2336.8571873478954,4,1,route diversion,0.624,0.49
SHP100055,ORD200055,V046,Nashik,Guwahati,2025-11-12,2025-11-19,2025-11-20,delivered_delayed,SKU0344,4,1233.93,468.7667238690525,725.054039781547,1,1,staffing shortage,0.59,0.626
SHP100056,ORD200056,V029,Aurangabad,Jodhpur,2025-03-09,2025-03-11,2025-03-11,delivered_on_time,SKU0062,2,702.67,204.73868448119075,406.76612185528126,0,1,vendor capacity issue,0.629,0.513
SHP100057,ORD200057,V016,Bhopal,Kolkata,2025-08-28,2025-09-02,2025-09-07,delivered_delayed,SKU0174,4,3813.02,1212.0550179982567,2329.2887581284685,6,1,monsoon disruption,0.615,0.512
SHP100058,ORD200058,V038,Jalandhar,Bhopal,2025-01-11,2025-01-15,2025-01-15,delivered_on_time,SKU0302,4,4316.05,1510.1708099888008,2693.7047781899887,0,0,,0.65,0.534
SHP100059,ORD200059,V015,Mumbai,Hyderabad,2025-07-01,2025-07-06,2025-07-09,delivered_delayed,SKU0363,3,3395.17,1297.3304107959343,974.8924380697069,4,1,hub congestion,0.62,0.514
SHP100060,ORD200060,V041,Chennai,Patna,2025-02-26,2025-02-28,2025-02-28,delivered_on_time,SKU0035,2,4103.22,1269.4321341894224,2236.423936222179,0,0,,0.741,0.357
SHP100061,ORD200061,V003,Rajkot,Kolkata,2025-01-26,2025-01-30,2025-02-01,delivered_delayed,SKU0264,3,2366.07,766.7258932542522,1057.7259927244454,1,1,staffing shortage,0.653,0.521
SHP100062,ORD200062,V018,Mangalore,Faridabad,2025-12-02,2025-12-08,2025-12-08,delivered_on_time,SKU0110,3,393.12,109.2938797509375,200.0,0,0,,0.599,0.515
SHP100063,ORD200063,V035,Surat,Durgapur,2024-12-09,2024-12-11,2024-12-13,delivered_delayed,SKU0479,7,2581.97,706.2281858077882,1435.682376792391,1,1,weather disruption,0.655,0.578
SHP100064,ORD200064,V016,Gurgaon,Guwahati,2025-01-30,2025-02-02,2025-02-04,delivered_delayed,SKU0098,3,1866.0,697.8086592293786,610.1268634514528,1,1,hub congestion,0.627,0.558
SHP100065,ORD200065,V007,Mangalore,Amritsar,2025-03-23,2025-03-27,2025-03-27,delivered_on_time,SKU0182,3,3930.37,1576.6495893880283,1276.934526873761,0,0,,0.638,0.477
SHP100066,ORD200066,V028,Guwahati,Gurgaon,2025-08-24,2025-08-29,2025-09-03,delivered_delayed,SKU0443,4,1955.04,644.6408665952791,1101.386005758952,6,1,monsoon disruption,0.579,0.611
SHP100067,ORD200067,V044,Tiruchirappalli,Mangalore,2025-10-13,2025-10-18,2025-10-18,delivered_on_time,SKU0051,3,1753.29,672.4042097272553,962.1680346641683,0,0,,0.661,0.506
SHP100068,ORD200068,V004,Mysore,Durgapur,2025-06-16,2025-06-24,2025-06-27,delivered_delayed,SKU0174,4,3271.87,1149.7846363969634,1680.6721474766316,4,1,monsoon disruption,0.636,0.577
SHP100069,ORD200069,V016,Nagpur,Indore,2025-07-13,2025-07-18,2025-07-18,delivered_on_time,SKU0275,2,898.59,270.54509198546907,370.2268613649836,0,0,,0.629,0.508
SHP100070,ORD200070,V029,Surat,Jodhpur,2025-01-20,2025-01-26,2025-02-02,delivered_delayed,SKU0094,2,4168.71,1464.897673731949,2394.4360035978843,6,1,vehicle breakdown,0.572,0.62
SHP100071,ORD200071,V018,Noida,Patna,2025-05-18,2025-05-25,2025-05-25,delivered_on_time,SKU0448,4,149.96,100.0,200.0,0,0,,0.603,0.538
SHP100072,ORD200072,V005,Jodhpur,Dehradun,2025-06-27,2025-07-01,2025-07-04,delivered_delayed,SKU0051,4,4457.03,1477.692780111955,2266.535478270195,4,1,hub congestion,0.7,0.428
SHP100073,ORD200073,V042,Kolhapur,Mumbai,2025-09-03,2025-09-06,2025-09-06,delivered_on_time,SKU0497,2,3107.82,1279.0715423205943,1188.019812152098,0,0,,0.7,0.514
SHP100074,ORD200074,V006,Bikaner,Patna,2025-11-23,2025-11-26,2025-11-29,delivered_delayed,SKU0086,1,3366.14,681.125227432634,1539.9254533506078,3,1,festival rush,0.561,0.658
SHP100075,ORD200075,V032,Gurgaon,Indore,2025-10-07,2025-10-10,2025-10-11,delivered_delayed,SKU0443,4,1552.25,581.2065747874886,906.1777325937315,1,1,hub congestion,0.767,0.4
SHP100076,ORD200076,V004,Lucknow,Mysore,2025-09-04,2025-09-12,,in_transit,SKU0002,2,2935.88,991.4046540016207,1857.587416719931,0,0,,0.683,0.459
SHP100077,ORD200077,V025,Vadodara,Gurgaon,2025-07-10,2025-07-13,2025-07-16,delivered_delayed,SKU0147,3,3004.97,956.7312607701957,1404.3617302952234,4,1,hub congestion,0.635,0.532
SHP100078,ORD200078,V028,Salem,Durgapur,2025-08-16,2025-08-19,2025-08-19,delivered_on_time,SKU0402,3,3865.11,1306.1032747497568,1836.0536515394608,0,0,,0.562,0.557
SHP100079,ORD200079,V036,Mangalore,Jabalpur,2025-06-15,2025-06-21,2025-06-21,delivered_on_time,SKU0250,6,3538.68,827.8914816640057,1712.1233987213877,0,1,monsoon disruption,0.631,0.461
SHP100080,ORD200080,V010,Nagpur,Nashik,2025-09-29,2025-10-02,2025-10-05,delivered_delayed,SKU0112,3,2491.32,803.0763516196325,1314.1446450960084,4,1,weather disruption,0.725,0.386
SHP100081,ORD200081,V004,Dhanbad,Bikaner,2025-07-08,2025-07-11,2025-07-15,delivered_delayed,SKU0278,4,441.77,155.14474770250388,200.0,5,1,vehicle breakdown,0.672,0.523
SHP100082,ORD200082,V048,Meerut,Chennai,2025-07-03,2025-07-06,2025-07-09,delivered_delayed,SKU0026,2,4099.64,1669.4883437458723,863.3083170577232,4,1,hub congestion,0.654,0.536
SHP100083,ORD200083,V038,Gurgaon,Aurangabad,2025-08-01,2025-08-03,2025-08-03,delivered_on_time,SKU0471,2,4296.11,1320.7093732952867,2660.4816835666106,0,1,vehicle breakdown,0.591,0.529
SHP100084,ORD200084,V034,Lucknow,Chennai,2025-11-10,2025-11-13,2025-11-13,delivered_on_time,SKU0492,5,286.16,100.0,200.0,0,0,,0.658,0.453
SHP100085,ORD200085,V033,Hyderabad,Nagpur,2025-01-29,2025-02-03,2025-02-02,delivered_early,SKU0036,2,2316.18,713.9520185395183,1016.247169317844,0,0,,0.725,0.344
SHP100086,ORD200086,V039,Kolkata,Salem,2025-09-13,2025-09-18,2025-09-20,delivered_delayed,SKU0442,3,4049.67,1535.243824699728,1592.875585149071,2,1,vehicle breakdown,0.594,0.638
SHP100087,ORD200087,V016,Mysore,Ahmedabad,2025-07-12,2025-07-21,2025-07-24,delivered_delayed,SKU0483,4,4169.7,1458.4396750973992,2027.683195178949,3,1,weather disruption,0.596,0.662
SHP100088,ORD200088,V038,Raipur,Bengaluru,2025-08-16,2025-08-21,2025-08-21,delivered_on_time,SKU0318,3,2065.07,633.6570714670067,993.8141354828224,0,0,,0.551,0.737
SHP100089,ORD200089,V006,Guwahati,Jamshedpur,2025-06-13,2025-06-22,2025-06-28,delivered_delayed,SKU0299,7,4173.34,1498.215308798798,2502.1337498817265,8,1,monsoon disruption,0.662,0.54
SHP100090,ORD200090,V017,Indore,Jamshedpur,2025-01-17,2025-01-23,2025-01-28,delivered_delayed,SKU0367,1,4659.56,1575.8035999586743,2355.2395756711553,4,1,missing documentation,0.62,0.585
SHP100091,ORD200091,V016,Vadodara,Guwahati,2025-05-13,2025-05-18,2025-05-18,delivered_on_time,SKU0068,4,4689.45,1790.2706125427228,1973.0284868115853,0,0,,0.68,0.485
SHP100092,ORD200092,V043,Tiruchirappalli,Nashik,2024-12-22,2024-12-25,2024-12-30,delivered_delayed,SKU0235,1,3544.24,1057.00110046114,1304.844048895414,4,1,weather disruption,0.645,0.521
SHP100093,ORD200093,V049,Kolkata,Mumbai,2025-10-04,2025-10-10,2025-10-14,delivered_delayed,SKU0235,6,4441.35,1407.6868862604001,2605.133438674886,4,1,vendor capacity issue,0.567,0.582
SHP100094,ORD200094,V040,Dehradun,Pune,2025-02-10,2025-02-16,2025-02-20,delivered_delayed,SKU0038,3,116.35,100.0,200.0,3,1,weather disruption,0.714,0.504
SHP100095,ORD200095,V035,Indore,Aurangabad,2025-11-17,2025-11-21,2025-11-26,delivered_delayed,SKU0136,5,4231.71,1100.9114579419916,2564.653184171993,6,1,staffing shortage,0.675,0.473
SHP100096,ORD200096,V009,Varanasi,Kolkata,2025-10-30,2025-11-01,2025-11-01,delivered_on_time,SKU0451,3,3447.78,1200.307878442885,1390.0805084598828,0,0,,0.591,0.566
SHP100097,ORD200097,V016,Vijayawada,Agra,2024-12-16,2024-12-18,2024-12-18,delivered_on_time,SKU0081,6,348.81,120.82293447445336,238.53151749244768,0,0,,0.628,0.514
SHP100098,ORD200098,V029,Kolhapur,Jabalpur,2025-11-16,2025-11-19,2025-11-21,delivered_delayed,SKU0155,3,2852.71,951.632693778259,928.9295242772748,2,1,festival rush,0.528,0.653
SHP100099,ORD200099,V043,Jalandhar,Nashik,2025-04-15,2025-04-22,2025-04-24,delivered_delayed,SKU0478,5,3717.05,1195.4180614610623,2122.287247660037,2,1,missing documentation,0.706,0.49
SHP100100,ORD200100,V043,Pune,Jaipur,2025-04-22,2025-04-24,2025-04-24,delivered_on_time,SKU0136,4,4084.62,1072.4774179803019,1262.3180037452191,0,0,,0.729,0.352
SHP100101,ORD200101,V008,Pune,Bikaner,2025-02-08,2025-02-12,2025-02-12,delivered_on_time,SKU0284,3,337.41,105.37350308228702,200.0,0,0,,0.559,0.747
SHP100102,ORD200102,V010,Ludhiana,Nashik,2025-04-25,2025-05-02,2025-05-02,delivered_on_time,SKU0310,2,1495.47,472.8640360984856,981.181296179701,0,0,,0.759,0.351
SHP100103,ORD200103,V014,Warangal,Rajkot,2025-02-26,2025-02-28,2025-02-28,delivered_on_time,SKU0105,3,4949.13,1451.1812749288606,2886.0179772754755,0,0,,0.7,0.47
SHP100104,ORD200104,V044,Siliguri,Vadodara,2025-05-19,2025-05-25,2025-05-29,delivered_delayed,SKU0259,2,3296.45,1072.233152455596,1468.1661711367278,4,1,vendor capacity issue,0.684,0.494
SHP100105,ORD200105,V032,Vadodara,Chennai,2025-09-22,2025-09-29,2025-09-30,delivered_delayed,SKU0048,3,4053.14,1432.9304011561305,1816.2780828257703,1,1,vehicle breakdown,0.652,0.504
SHP100106,ORD200106,V041,Amritsar,Ludhiana,2025-08-25,2025-09-02,2025-09-04,delivered_delayed,SKU0023,5,1372.68,587.0164831436836,700.1521959101595,2,1,vehicle breakdown,0.733,0.353
SHP100107,ORD200107,V001,Rajkot,Surat,2025-07-26,2025-07-29,2025-07-29,delivered_on_time,SKU0327,2,3317.85,1134.9111498152058,1829.5092686195464,0,0,,0.75,0.412
SHP100108,ORD200108,V017,Lucknow,Bikaner,2025-01-17,2025-01-22,2025-01-27,delivered_delayed,SKU0227,1,1079.05,373.5788207888033,674.5766732883764,4,1,vehicle breakdown,0.583,0.657
SHP100109,ORD200109,V036,Warangal,Amritsar,2025-01-04,2025-01-11,2025-01-11,delivered_on_time,SKU0288,3,4015.72,1323.6256356903075,1824.6491983013575,0,0,,0.605,0.558
SHP100110,ORD200110,V001,Ahmedabad,Kolkata,2025-04-21,2025-04-26,2025-04-26,delivered_on_time,SKU0484,3,4364.6,1036.1332243519569,1478.820291190376,0,0,,0.744,0.31
SHP100111,ORD200111,V045,Jaipur,Jalandhar,2025-06-26,2025-06-30,2025-06-30,delivered_on_time,SKU0019,5,4387.31,1456.6204371218116,2262.5220027137298,0,0,,0.614,0.518
SHP100112,ORD200112,V024,Dhanbad,Jalandhar,2025-10-31,2025-11-02,2025-11-02,delivered_on_time,SKU0076,2,3774.97,1269.6916951143871,1714.8062311330934,0,0,,0.599,0.497
SHP100113,ORD200113,V028,Surat,Bengaluru,2025-09-01,2025-09-10,2025-09-14,delivered_delayed,SKU0158,3,178.85,100.0,200.0,5,1,monsoon disruption,0.613,0.511
SHP100114,ORD200114,V003,Varanasi,Indore,2025-01-09,2025-01-11,2025-01-11,delivered_on_time,SKU0350,5,3113.67,1007.9425717394981,1649.5192771541988,0,0,,0.694,0.427
SHP100115,ORD200115,V016,Mangalore,Pune,2025-01-24,2025-02-02,2025-02-02,delivered_on_time,SKU0182,4,4109.14,1431.6683456471703,1966.9985748507158,0,0,,0.654,0.597
SHP100116,ORD200116,V050,Jalandhar,Guwahati,2025-02-07,2025-02-10,2025-02-10,delivered_on_time,SKU0499,4,1462.06,484.8157988325709,775.8439236591228,0,0,,0.785,0.337
SHP100117,ORD200117,V040,Durgapur,Jaipur,2025-07-11,2025-07-14,2025-07-15,delivered_delayed,SKU0474,1,191.17,100.0,200.0,1,1,monsoon disruption,0.74,0.434
SHP100118,ORD200118,V011,Kanpur,Amritsar,2025-09-26,2025-10-05,2025-10-05,delivered_on_time,SKU0013,2,4417.29,1724.8389895164528,2423.639155850152,0,0,,0.77,0.351
SHP100119,ORD200119,V012,Durgapur,Rajkot,2025-03-16,2025-03-18,2025-03-24,delivered_delayed,SKU0401,1,2422.66,898.6372373817802,892.2418882649582,6,1,staffing shortage,0.688,0.547
SHP100120,ORD200120,V043,Durgapur,Patna,2025-05-28,2025-06-01,2025-06-06,delivered_delayed,SKU0137,6,350.02,130.5171834385337,200.0,5,1,weather disruption,0.729,0.467
SHP100121,ORD200121,V045,Pune,Mysore,2025-12-02,2025-12-05,2025-12-05,delivered_on_time,SKU0447,1,724.33,208.5085025767597,344.5699934996552,0,0,,0.664,0.476
SHP100122,ORD200122,V003,Gurgaon,Bhopal,2025-07-09,2025-07-13,2025-07-16,delivered_delayed,SKU0103,1,4493.64,1813.0626313697446,3000.0,4,1,monsoon disruption,0.697,0.482
SHP100123,ORD200123,V030,Varanasi,Nashik,2025-01-11,2025-01-15,2025-01-17,delivered_delayed,SKU0421,2,4798.65,1263.2003698765911,2775.935225478523,1,1,weather disruption,0.744,0.408
SHP100124,ORD200124,V015,Bhopal,Delhi,2025-07-22,2025-07-24,2025-07-27,delivered_delayed,SKU0338,2,2865.2,1039.1398139244932,1741.237196322807,4,1,hub congestion,0.585,0.539
SHP100125,ORD200125,V026,Rajkot,Ludhiana,2025-03-18,2025-03-23,2025-03-26,delivered_delayed,SKU0443,5,1001.84,443.6709698747401,642.8884455084496,3,1,festival rush,0.641,0.535
SHP100126,ORD200126,V005,Shimla,Ludhiana,2025-04-17,2025-04-20,2025-04-20,delivered_on_time,SKU0180,2,2849.38,808.6726136282895,2451.2737831136787,0,0,,0.65,0.594
SHP100127,ORD200127,V042,Thane,Mysore,2025-08-21,2025-08-30,2025-09-02,delivered_delayed,SKU0348,2,2966.54,904.8494233278764,1495.6075632474797,4,1,monsoon disruption,0.738,0.408
SHP100128,ORD200128,V002,Ahmedabad,Ludhiana,2024-12-12,2024-12-15,2024-12-15,delivered_on_time,SKU0092,2,2498.2,845.1807853464304,1603.9445586163004,0,0,,0.664,0.499
SHP100129,ORD200129,V038,Vadodara,Bengaluru,2025-07-13,2025-07-22,,in_transit,SKU0056,3,3274.43,1009.0468773612814,1968.7953256071348,0,0,,0.522,0.724
SHP100130,ORD200130,V039,Amritsar,Varanasi,2025-08-19,2025-08-21,2025-08-21,delivered_on_time,SKU0374,1,2539.08,649.4970747724302,1522.4406208498071,0,0,,0.542,0.599
SHP100131,ORD200131,V021,Amritsar,Rourkela,2025-12-01,2025-12-04,2025-12-07,delivered_delayed,SKU0262,2,2526.31,850.7638997774442,1711.382928945109,2,1,customs delay,0.738,0.433
SHP100132,ORD200132,V025,Dehradun,Nagpur,2025-09-16,2025-09-19,2025-09-19,delivered_on_time,SKU0131,2,696.59,195.1971594694433,319.08607357465235,0,1,vehicle breakdown,0.63,0.543
SHP100133,ORD200133,V003,Warangal,Amritsar,2025-07-02,2025-07-04,2025-07-07,delivered_delayed,SKU0001,4,3904.33,1393.8963900684264,1757.4619100494476,4,1,vehicle breakdown,0.677,0.447
SHP100134,ORD200134,V024,Amritsar,Kolkata,2024-12-22,2024-12-25,2024-12-28,delivered_delayed,SKU0486,1,2061.32,592.3452885411256,1096.573904825043,2,1,customs delay,0.667,0.508
SHP100135,ORD200135,V040,Meerut,Jamshedpur,2025-11-18,2025-11-21,2025-11-25,delivered_delayed,SKU0435,3,3871.35,1590.4669279432326,1864.9455237970203,4,1,festival rush,0.713,0.43
